sample_id,row,col,lulc_label,class_id,split
1,2660,489,30,1,train
2,2256,4657,50,3,train
3,2169,3001,10,0,train
4,2627,3351,40,2,train
5,2713,1238,80,5,train
6,2665,3675,30,1,test
7,1147,1948,10,0,train
8,2198,4959,10,0,train
9,2968,1966,30,1,train
10,1254,2430,10,0,val
11,3039,668,80,5,test
12,612,4880,40,2,train
13,204,178,10,0,train
14,1059,4963,10,0,test
15,2717,3100,50,3,train
16,2170,3198,40,2,train
17,675,347,40,2,train
18,2603,1169,80,5,train
19,2156,5414,10,0,train
20,755,3794,10,0,train
21,229,3927,10,0,train
22,1909,2237,80,5,train
23,2114,3863,50,3,train
24,739,5471,40,2,train
25,1402,4044,80,5,test
26,1516,3676,60,4,train
27,1012,2978,30,1,train
28,1723,3067,80,5,train
29,817,4261,50,3,val
30,936,4983,50,3,train
31,2019,2583,80,5,test
32,3008,2531,60,4,val
33,1384,2355,60,4,train
34,2211,4245,30,1,train
35,867,4195,40,2,train
36,114,3403,10,0,val
37,2090,4017,50,3,val
38,1247,689,40,2,train
39,1305,3200,80,5,train
40,1787,3656,40,2,train
41,2942,294,40,2,test
42,2273,5228,10,0,train
43,2515,4845,10,0,train
44,1350,4543,50,3,train
45,2968,1587,60,4,train
46,2869,3201,50,3,train
47,1710,2805,80,5,train
48,2453,3813,50,3,train
49,1258,4018,30,1,test
50,2707,5274,10,0,val
51,458,3390,10,0,val
52,2913,4735,10,0,test
53,2328,5182,10,0,val
54,1446,5334,50,3,train
55,302,5095,50,3,train
56,1555,3686,60,4,test
57,2859,2516,50,3,train
58,1089,5060,50,3,train
59,398,5228,30,1,train
60,405,719,60,4,train
61,2295,550,60,4,train
62,1282,2837,40,2,train
63,2709,1019,80,5,test
64,2071,985,60,4,train
65,1289,2831,30,1,val
66,1180,2727,50,3,train
67,1465,3356,50,3,train
68,2496,3985,50,3,train
69,2914,2602,30,1,test
70,725,3430,10,0,train
71,1078,4830,50,3,train
72,2530,3995,60,4,val
73,2276,1541,40,2,train
74,1716,118,40,2,train
75,1072,3552,60,4,train
76,1038,3484,30,1,train
77,458,2009,10,0,train
78,1150,1273,10,0,train
79,2219,584,40,2,test
80,446,2676,10,0,train
81,1428,833,60,4,train
82,2866,977,60,4,train
83,2502,3893,60,4,test
84,497,1760,10,0,train
85,3000,4424,10,0,train
86,2217,2787,80,5,train
87,172,2239,10,0,test
88,2496,3764,50,3,train
89,2044,932,50,3,train
90,371,5481,40,2,val
91,914,4110,40,2,val
92,2592,4049,40,2,train
93,1922,2563,80,5,train
94,79,3449,10,0,test
95,310,4454,10,0,val
96,1480,3043,60,4,val
97,312,4743,30,1,val
98,930,871,30,1,train
99,2010,4765,10,0,val
100,666,2704,10,0,val
101,1830,312,40,2,train
102,2966,2154,30,1,train
103,1810,2592,80,5,train
104,1967,976,50,3,val
105,426,1440,30,1,test
106,909,4939,60,4,train
107,1999,1425,40,2,train
108,2491,1881,50,3,test
109,318,965,30,1,val
110,1270,650,40,2,val
111,2785,3845,40,2,test
112,2050,2378,80,5,test
113,2456,814,40,2,train
114,2203,3836,50,3,val
115,2961,3934,10,0,train
116,2265,52,40,2,train
117,1074,1502,10,0,train
118,158,2543,10,0,train
119,1457,465,30,1,test
120,1995,4962,30,1,train
121,1811,4864,50,3,train
122,1571,608,30,1,train
123,2695,3852,50,3,train
124,2299,601,50,3,test
125,2144,3619,50,3,train
126,2894,751,80,5,test
127,2334,3452,50,3,val
128,17,1266,10,0,train
129,2887,2937,60,4,val
130,2756,4416,30,1,test
131,1482,4931,60,4,train
132,2845,2552,60,4,val
133,854,4610,50,3,train
134,2102,4443,60,4,train
135,398,504,30,1,train
136,1248,2845,50,3,train
137,1415,4969,50,3,train
138,696,3910,10,0,train
139,2472,5491,10,0,test
140,1284,833,30,1,train
141,2316,1190,40,2,train
142,163,3448,10,0,train
143,1711,4253,50,3,train
144,2661,1316,80,5,train
145,737,946,30,1,train
146,592,3347,10,0,train
147,2390,1419,40,2,train
148,1196,369,30,1,train
149,849,2526,10,0,train
150,2249,1402,60,4,test
151,2045,1858,40,2,test
